Namespace,Pod Name,Container Name,SP HttpGet,SP FailureThreshold,SP InitialDelaySeconds,SP PeriodSeconds,SP SuccessThreshold,SP TimeoutSeconds,LP HttpGet,LP FailureThreshold,LP InitialDelaySeconds,LP PeriodSeconds,LP SuccessThreshold,LP TimeoutSeconds,RP HttpGet,RP FailureThreshold,RP InitialDelaySeconds,RP PeriodSeconds,RP SuccessThreshold,RP TimeoutSeconds
ibs-ivv,bip-ibs-vet-data-service-ivv-85d7845965-frjzm,bip-ibs-vet-data-service, , , , , , ,/app-health/bip-ibs-vet-data-service/livez,10,90,10,1,5,/app-health/bip-ibs-vet-data-service/readyz,10,90,10,1,5
ibs-ivv,bip-ibs-vet-data-service-ivv-85d7845965-frjzm,jaeger-agent, , , , , , ,/app-health/jaeger-agent/livez,5,5,15,1,1,/app-health/jaeger-agent/readyz,3,1,10,1,1
ibs-ivv,bip-ibs-vet-data-service-ivv-85d7845965-frjzm,istio-proxy,/healthz/ready,600, ,1,1,3, , , , , , ,/healthz/ready,4, ,15,1,3
ibs-ivv,tiller-deploy-f75c789b8-2c2gw,tiller, , , , , , ,/liveness,3,1,10,1,1,/readiness,3,1,10,1,1
ibs-pat,bip-ibs-batch-service-pat-64649d5b8f-lq5gs,bip-ibs-batch-service, , , , , , ,/app-health/bip-ibs-batch-service/livez,10,90,10,1,5,/app-health/bip-ibs-batch-service/readyz,10,90,10,1,5
ibs-pat,bip-ibs-batch-service-pat-64649d5b8f-lq5gs,jaeger-agent, , , , , , ,/app-health/jaeger-agent/livez,5,5,15,1,1,/app-health/jaeger-agent/readyz,3,1,10,1,1
ibs-pat,bip-ibs-batch-service-pat-64649d5b8f-lq5gs,istio-proxy,/healthz/ready,600, ,1,1,3, , , , , , ,/healthz/ready,4, ,15,1,3
ibs-pat,bip-ibs-fl-data-service-pat-745bf8f9cf-dc5l4,bip-ibs-fl-data-service, , , , , , ,/app-health/bip-ibs-fl-data-service/livez,10,90,10,1,5,/app-health/bip-ibs-fl-data-service/readyz,10,90,10,1,5
ibs-pat,bip-ibs-fl-data-service-pat-745bf8f9cf-dc5l4,jaeger-agent, , , , , , ,/app-health/jaeger-agent/livez,5,5,15,1,1,/app-health/jaeger-agent/readyz,3,1,10,1,1
ibs-pat,bip-ibs-fl-data-service-pat-745bf8f9cf-dc5l4,istio-proxy,/healthz/ready,600, ,1,1,3, , , , , , ,/healthz/ready,4, ,15,1,3
ibs-pat,bip-ibs-fl-service-pat-5cd748ff89-kqkkz,bip-ibs-fl-service, , , , , , ,/app-health/bip-ibs-fl-service/livez,10,90,10,1,5,/app-health/bip-ibs-fl-service/readyz,10,90,10,1,5
ibs-pat,bip-ibs-fl-service-pat-5cd748ff89-kqkkz,jaeger-agent, , , , , , ,/app-health/jaeger-agent/livez,5,5,15,1,1,/app-health/jaeger-agent/readyz,3,1,10,1,1
ibs-pat,bip-ibs-fl-service-pat-5cd748ff89-kqkkz,istio-proxy,/healthz/ready,600, ,1,1,3, , , , , , ,/healthz/ready,4, ,15,1,3
ibs-pat,bip-ibs-icp-data-service-pat-56c944c487-bxnpw,bip-ibs-icp-data-service, , , , , , ,/app-health/bip-ibs-icp-data-service/livez,10,90,10,1,5,/app-health/bip-ibs-icp-data-service/readyz,10,90,10,1,5
ibs-pat,bip-ibs-icp-data-service-pat-56c944c487-bxnpw,jaeger-agent, , , , , , ,/app-health/jaeger-agent/livez,5,5,15,1,1,/app-health/jaeger-agent/readyz,3,1,10,1,1
ibs-pat,bip-ibs-icp-data-service-pat-56c944c487-bxnpw,istio-proxy,/healthz/ready,600, ,1,1,3, , , , , , ,/healthz/ready,4, ,15,1,3
ibs-pat,bip-ibs-icp-data-service-pat-56c944c487-mcfdg,bip-ibs-icp-data-service, , , , , , ,/app-health/bip-ibs-icp-data-service/livez,10,90,10,1,5,/app-health/bip-ibs-icp-data-service/readyz,10,90,10,1,5
ibs-pat,bip-ibs-icp-data-service-pat-56c944c487-mcfdg,jaeger-agent, , , , , , ,/app-health/jaeger-agent/livez,5,5,15,1,1,/app-health/jaeger-agent/readyz,3,1,10,1,1
ibs-pat,bip-ibs-icp-data-service-pat-56c944c487-mcfdg,istio-proxy,/healthz/ready,600, ,1,1,3, , , , , , ,/healthz/ready,4, ,15,1,3
ibs-pat,bip-ibs-icp-service-pat-7cfd8bc4b6-8mrwc,bip-ibs-icp-service, , , , , , ,/app-health/bip-ibs-icp-service/livez,10,90,10,1,5,/app-health/bip-ibs-icp-service/readyz,10,90,10,1,5
ibs-pat,bip-ibs-icp-service-pat-7cfd8bc4b6-8mrwc,jaeger-agent, , , , , , ,/app-health/jaeger-agent/livez,5,5,15,1,1,/app-health/jaeger-agent/readyz,3,1,10,1,1
